saba,"### play off
# クラス: ドルイド
# フォーマット: スタンダード
# マンモス年
#
# 2x (0) 練気
# 2x (1) 翡翠の偶像
# 1x (2) ゴラッカ・クローラー
# 2x (2) 終末予言者
# 2x (2) 自然の怒り
# 2x (2) 野生の繁茂
# 1x (3) 暴蝕ウーズ
# 2x (3) 翡翠の開花
# 2x (4) なぎ払い
# 1x (4) ファンドラル・スタッグヘルム
# 1x (4) 秘密を喰らうもの
# 2x (4) 翡翠の精霊
# 2x (5) 拡がりゆく虫害
# 2x (5) 滋養
# 1x (6) アヤ・ブラックポー
# 2x (6) 翡翠の巨象
# 1x (7) 魔蝕の病霜マルフュリオン
# 2x (10) 究極の侵蝕
# 
AAECAZICBq6rAoivApS9AuTCAtPFApnTAgxAX4oB/gHEBuQItLsCy7wCz7wC3b4CoM0Ch84CAA==
# 
# このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
","### play off
# クラス: プリースト
# フォーマット: スタンダード
# マンモス年
#
# 1x (0) 沈黙
# 1x (1) ノースシャイアの聖職者
# 1x (1) 狂気ポーション
# 1x (1) 真言・盾
# 1x (1) 聖なる一撃
# 1x (2) ゴラッカ・クローラー
# 1x (2) ブラッドメイジ・サルノス
# 1x (2) 光熱のエレメンタル
# 1x (2) 初級エンジニア
# 1x (2) 密言・痛
# 1x (2) 影の幻視
# 1x (2) 終末予言者
# 1x (2) 霊魂鞭打
# 1x (3) タール・クリーパー
# 1x (3) ひとまねグリマールート
# 1x (3) 密言・死
# 1x (3) 暴蝕ウーズ
# 1x (4) カザカス
# 1x (4) 上級回復ポーション
# 1x (4) 宴のプリースト
# 1x (4) 密言・恐
# 1x (5) ホーリーノヴァ
# 1x (5) 先遣隊長エリーズ
# 1x (5) 大物ハンター
# 1x (5) 太陽の砕片ライラ
# 1x (5) 強盗ログ
# 1x (5) 縛鎖のラザ
# 1x (6) ドラゴンファイア・ポーション
# 1x (7) 預言者ヴェレン
# 1x (8) 影刈アンドゥイン
# 
AAECAa0GHgmKAZcCnALlBO0FyQalCdMK1wryDPkMoawCkrQCg7sCtbsCt7sC2LsC6r8C+r8C0cEC2MEC2cEC5MICysMC08UCz8cCvsgC8M8CkNMCAAA=
# 
# このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
","### play off
# クラス: パラディン
# フォーマット: スタンダード
# マンモス年
#
# 2x (1) バイルフィンの異端審問官
# 2x (1) マーロックのタイドコーラー
# 2x (1) 有徳の守護者
# 2x (2) ゴラッカ・クローラー
# 2x (2) ロックプール・ハンター
# 2x (2) 水文学者
# 1x (3) ウィッカーフレイム
# 2x (3) ストーンヒルの守護者
# 2x (3) マーロックの戦隊長
# 2x (3) 勝鬨の剣
# 2x (4) トゥルーシルバー・チャンピオン
# 2x (4) 温厚なメガサウルス
# 1x (4) 聖別
# 1x (5) コバルト・スケイルベイン
# 1x (5) 飛刀手流忍者・六丸
# 2x (6) 剣竜騎乗
# 1x (6) 太陽の番人タリム
# 1x (7) キュレーター
# 
AAECAZ8FBtwDubICvL0C474CucECyssCDNsDzwanCNOqAtmuArPBApvCAp3CArHCAuTCAojHAuPLAgA=
# 
# このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
","### play off
# クラス: メイジ
# フォーマット: スタンダード
# マンモス年
#
# 2x (1) マナ・ワーム
# 1x (2) ゴラッカ・クローラー
# 2x (2) フロストボルト
# 2x (2) メディヴの従者
# 2x (2) 始原の秘紋
# 2x (2) 魔法学者
# 1x (3) アイスブロック
# 2x (3) キリン・トアのメイジ
# 2x (3) 呪文相殺
# 1x (3) 暴蝕ウーズ
# 1x (3) 火山ポーション
# 2x (3) 魔力なる知性
# 2x (4) ウォーター・エレメンタル
# 2x (4) ファイアーボール
# 2x (5) 強盗ログ
# 1x (7) 大魔術師アントニダス
# 2x (7) 炎の大地のポータル
# 1x (10) パイロブラスト
# 
AAECAf0EBsABuAi/COm6AuTCAtPFAgxxuwKLA5UDqwSWBewFo7YC17YC+r8CwcECmMQCAA==
# 
# このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
"
GunMo,"### Shaman
# Class: Shaman
# Format: Standard
# Year of the Mammoth
#
# 2x (1) Bloodsail Corsair
# 2x (1) Evolve
# 2x (1) Fire Fly
# 1x (1) Patches the Pirate
# 2x (2) Devolve
# 2x (2) Flametongue Totem
# 2x (2) Jade Claws
# 2x (2) Maelstrom Portal
# 2x (2) Primalfin Totem
# 2x (3) Mana Tide Totem
# 2x (4) Jade Lightning
# 1x (4) Saronite Chain Gang
# 2x (5) Bloodlust
# 2x (5) Doppelgangster
# 1x (5) Thrall, Deathseer
# 1x (6) Aya Blackpaw
# 2x (6) Thing from Below
# 
AAECAfe5AgSRvAKUvQKbywLrzwINgQTlB/AHkwn6qgL7qgKgtgKHvALRvAL2vQL5vwKRwQLrwgIA
# 
# To use this deck, copy it to your clipboard and create a new deck in Hearthstone
","### Priest
# Class: Priest
# Format: Standard
# Year of the Mammoth
#
# 1x (0) Silence
# 1x (1) Holy Smite
# 1x (1) Northshire Cleric
# 1x (1) Pint-Size Potion
# 1x (1) Potion of Madness
# 1x (1) Power Word: Shield
# 1x (2) Bloodmage Thalnos
# 1x (2) Doomsayer
# 1x (2) Loot Hoarder
# 1x (2) Radiant Elemental
# 1x (2) Shadow Visions
# 1x (2) Shadow Word: Pain
# 1x (2) Spirit Lash
# 1x (3) Acolyte of Pain
# 1x (3) Curious Glimmerroot
# 1x (3) Gluttonous Ooze
# 1x (3) Kabal Courier
# 1x (3) Shadow Word: Death
# 1x (4) Greater Healing Potion
# 1x (4) Kazakus
# 1x (4) Priest of the Feast
# 1x (4) Shadow Word: Horror
# 1x (5) Holy Nova
# 1x (5) Kabal Songstealer
# 1x (5) Lyra the Sunshard
# 1x (5) Raza the Chained
# 1x (6) Cabal Shadow Priest
# 1x (6) Dragonfire Potion
# 1x (7) Prophet Velen
# 1x (8) Shadowreaper Anduin
# 
AAECAZ/HAh4JigH7AZAClwLlBO0FyQalCdMK1wryDPsMoawCkrQCg7sCtbsCt7sC2LsCsLwC4b8C6L8C6r8C0cEC2MEC2cEC08UCvsgC8M8CkNMCAAA=
# 
# To use this deck, copy it to your clipboard and create a new deck in Hearthstone
","### Druid
# Class: Druid
# Format: Standard
# Year of the Mammoth
#
# 2x (0) Innervate
# 2x (1) Jade Idol
# 2x (2) Doomsayer
# 2x (2) Wild Growth
# 2x (2) Wrath
# 1x (3) Gluttonous Ooze
# 2x (3) Jade Blossom
# 1x (4) Fandral Staghelm
# 2x (4) Jade Spirit
# 1x (4) Spellbreaker
# 2x (4) Swipe
# 2x (5) Nourish
# 2x (5) Spreading Plague
# 1x (6) Aya Blackpaw
# 2x (6) Jade Behemoth
# 1x (7) Malfurion the Pestilent
# 1x (8) Primordial Drake
# 2x (10) Ultimate Infestation
# 
AAECAZICBvIFrqsClL0C08UCyccCmdMCDEBfigH+AcQG5Ai0uwLLvALPvALdvgKgzQKHzgIA
# 
# To use this deck, copy it to your clipboard and create a new deck in Hearthstone
","### Paladin
# Class: Paladin
# Format: Standard
# Year of the Mammoth
#
# 2x (1) Murloc Tidecaller
# 2x (1) Righteous Protector
# 2x (1) Vilefin Inquisitor
# 1x (2) Crazed Alchemist
# 2x (2) Hydrologist
# 2x (2) Rockpool Hunter
# 2x (3) Murloc Warleader
# 2x (3) Rallying Blade
# 1x (3) Wickerflame Burnbristle
# 1x (4) Blessing of Kings
# 1x (4) Consecration
# 2x (4) Corpsetaker
# 2x (4) Gentle Megasaur
# 1x (5) Finja, the Flying Star
# 2x (6) Spikeridged Steed
# 1x (6) Sunkeeper Tarim
# 2x (7) Bonemare
# 1x (7) Stormwatcher
# 1x (8) Tirion Fordring
# 
AAECAYsWCNwDoQb6Bq8HvL0C474CucEC78ICC9sDpwjTqgLZrgKzwQKdwgKxwgKIxwLjywKmzgKW6AIA
# 
# To use this deck, copy it to your clipboard and create a new deck in Hearthstone
"
cocosasa,"### HCT
# 직업: 드루이드
# 대전 방식: 정규
# 매머드의 해
#
# 2x (0) 정신 자극
# 2x (1) 비취 우상
# 2x (2) 급속 성장
# 2x (2) 천벌
# 2x (3) 비취꽃
# 2x (3) 정신 지배 기술자
# 2x (4) 비취 정령
# 1x (4) 수렁의 수호자
# 1x (4) 주문파괴자
# 1x (4) 판드랄 스태그헬름
# 2x (4) 휘둘러치기
# 2x (5) 육성
# 2x (5) 퍼져나가는 역병
# 2x (6) 비취 괴수
# 1x (6) 아이야 블랙포우
# 1x (7) 역병의 드루이드 말퓨리온
# 2x (10) 궁극의 역병
# 1x (10) 잊힌 왕 쿤
# 
AAECAZICBvIFrqsCvq4C4LsClL0CmdMCDEBf/gHeBcQG5Ai0uwLLvALPvALdvgKgzQKHzgIA
# 
# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
","### HCT
# 직업: 마법사
# 대전 방식: 정규
# 매머드의 해
#
# 1x (1) 고대 차원문 개방
# 1x (1) 나불대는 책
# 2x (2) 마술사의 수습생
# 2x (2) 비전학자
# 2x (2) 태고의 문양
# 2x (2) 파멸의 예언자
# 2x (2) 풋내기 기술자
# 2x (3) 모사
# 2x (3) 시린빛 점쟁이
# 2x (3) 신비한 지능
# 2x (3) 얼음 방패
# 1x (3) 얼음 보호막
# 2x (3) 얼음 회오리
# 2x (4) 녹아내린 환영
# 2x (5) 신비술사의 고서
# 2x (6) 눈보라
# 1x (7) 대마법사 안토니다스
# 
AAECAf0EBO0EuAiBsgLQwQINigHAAZwCyQOrBMsE5gT4B5KsAsHBApjEAtrFArnRAgA=
# 
# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
","### HCT
# 직업: 사제
# 대전 방식: 정규
# 매머드의 해
#
# 1x (0) 침묵
# 2x (1) 광기의 물약
# 2x (1) 마음의 눈
# 2x (1) 축소 물약
# 2x (2) 암흑의 환영
# 2x (2) 어둠의 권능: 고통
# 1x (3) 생각 훔치기
# 2x (3) 어둠의 권능: 죽음
# 1x (4) 반즈
# 1x (4) 상급 치유 물약
# 2x (4) 어둠의 권능: 공포
# 2x (4) 영원한 족쇄
# 2x (6) 암흑의 정수
# 2x (6) 용숨결 물약
# 1x (8) 리치 왕
# 1x (8) 암흑사신 안두인
# 1x (9) 이세라
# 2x (9) 흑요석 석상
# 1x (10) 해방된 분노 이샤라즈
# 
AAECAa0GCB6iCaUJqKsChbgCt7sCws4CkNMCC8sI0wrXCqGsArW7Aui/Auq/AtHBAuXMAubMArTOAgA=
# 
# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
","### HCT
# 직업: 성기사
# 대전 방식: 정규
# 매머드의 해
#
# 2x (1) 멀록 파도술사
# 2x (1) 썩은지느러미 심문관
# 2x (1) 정의로운 수호자
# 1x (2) 광기의 연금술사
# 2x (2) 바위웅덩이 사냥꾼
# 2x (2) 수문학자
# 2x (3) 멀록 전투대장
# 1x (3) 불꽃수염 번브리슬
# 1x (3) 신의 은총
# 2x (3) 집결의 검
# 2x (4) 시체수집가
# 2x (4) 온순한 메가사우루스
# 1x (4) 왕의 축복
# 1x (5) 비성 핀자
# 2x (6) 가시가 돋친 탈것
# 1x (6) 태양지기 타림
# 1x (7) 폭풍감시자
# 2x (7) 해골마
# 1x (8) 티리온 폴드링
# 
AAECAZ8FCKcFoQb6Bq8HvL0C474CucEC78ICC9sDpwjTqgLZrgKzwQKdwgKxwgKIxwLjywKmzgKW6AIA
# 
# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
"
KimyeongDDi,"### 돌리고~
# 직업: 드루이드
# 대전 방식: 정규
# 매머드의 해
#
# 2x (0) 정신 자극
# 2x (1) 비취 우상
# 2x (2) 급속 성장
# 2x (2) 천벌
# 2x (2) 파멸의 예언자
# 1x (3) 걸신들린 수액
# 2x (3) 비취꽃
# 2x (4) 비취 정령
# 1x (4) 수렁의 수호자
# 1x (4) 판드랄 스태그헬름
# 2x (4) 휘둘러치기
# 2x (5) 육성
# 2x (5) 퍼져나가는 역병
# 2x (6) 비취 괴수
# 1x (6) 아이야 블랙포우
# 1x (7) 역병의 드루이드 말퓨리온
# 1x (8) 태고의 비룡
# 2x (10) 궁극의 역병
# 
AAECAZICBq6rAr6uApS9AtPFAsnHApnTAgxAX4oB/gHEBuQItLsCy7wCz7wC3b4CoM0Ch84CAA==
# 
# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
","### 돌리고~
# 직업: 전사
# 대전 방식: 정규
# 매머드의 해
#
# 2x (1) 강화!
# 2x (1) 남쪽바다 갑판원
# 2x (1) 느조스의 일등항해사
# 1x (1) 해적 패치스
# 2x (2) 붉은해적단 약탈자
# 2x (2) 영웅의 일격
# 2x (2) 이글거리는 전쟁 도끼
# 2x (3) 거품 무는 광전사
# 2x (3) 남쪽바다 선장
# 2x (3) 붉은해적단 이교도
# 2x (4) 공포의 해적
# 2x (4) 주문파괴자
# 2x (4) 코르크론 정예병
# 2x (5) 거센물결 히드라
# 1x (5) 선장 그린스킨
# 2x (5) 아케이나이트 도끼
# 
AAECAQcCyAORvAIOHLACkQP/A44FqAXUBfIF7gbnB+8HgrACiLACr8ICAA==
# 
# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
","### 왼쪽 돌리고~
# 직업: 사제
# 대전 방식: 정규
# 매머드의 해
#
# 1x (0) 침묵
# 1x (1) 광기의 물약
# 1x (1) 굶주린 게
# 1x (1) 북녘골 성직자
# 1x (1) 성스러운 일격
# 1x (1) 신의 권능: 보호막
# 1x (1) 축소 물약
# 1x (2) 골락카 거대게
# 1x (2) 암흑의 환영
# 1x (2) 어둠의 권능: 고통
# 1x (2) 영혼 채찍
# 1x (2) 전리품 수집가
# 1x (2) 파멸의 예언자
# 1x (2) 풋내기 기술자
# 1x (2) 혈법사 탈노스
# 1x (3) 걸신들린 수액
# 1x (3) 고통의 수행사제
# 1x (3) 어둠의 권능: 죽음
# 1x (3) 잿멍울 괴물
# 1x (3) 호기심 많은 미명뿌리
# 1x (4) 만찬의 사제
# 1x (4) 상급 치유 물약
# 1x (4) 어둠의 권능: 공포
# 1x (5) 생각 삼키기
# 1x (5) 속박된 라자
# 1x (5) 신성한 폭발
# 1x (5) 태양의 후예 라이라
# 1x (6) 비밀결사단 어둠사제
# 1x (6) 용숨결 물약
# 1x (8) 암흑사신 안두인
# 
AAECAZ/HAh6KAfsBkAKXApwCuwPlBO0FyQalCdMK1wryDPsMoawCkrQCg7sCtbsCt7sC6L8C6r8C0cEC2cEC5MICysMC08UCvsgCxswC8M8CkNMCAAA=
# 
# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
","### 오른쪽 돌리고~
# 직업: 성기사
# 대전 방식: 정규
# 매머드의 해
#
# 2x (1) 멀록 파도술사
# 2x (1) 썩은지느러미 심문관
# 2x (1) 정의로운 수호자
# 1x (2) 광기의 연금술사
# 2x (2) 바위웅덩이 사냥꾼
# 2x (2) 수문학자
# 2x (3) 멀록 전투대장
# 1x (3) 불꽃수염 번브리슬
# 2x (3) 집결의 검
# 2x (4) 시체수집가
# 1x (4) 신성화
# 2x (4) 온순한 메가사우루스
# 1x (4) 왕의 축복
# 1x (5) 비성 핀자
# 2x (6) 가시가 돋친 탈것
# 1x (6) 태양지기 타림
# 1x (7) 폭풍감시자
# 2x (7) 해골마
# 1x (8) 티리온 폴드링
# 
AAECAZ8FCNwDoQb6Bq8HvL0C474CucEC78ICC9sDpwjTqgLZrgKzwQKdwgKxwgKIxwLjywKmzgKW6AIA
# 
# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
"
Tansoku,"### Warrior
# クラス: ウォリアー
# フォーマット: スタンダード
# マンモス年
#
# 1x (1) ファイアプルームの中心で
# 2x (2) ドブネズミ
# 2x (2) 止めの一撃
# 2x (2) 烈火の戦斧
# 2x (2) 鎧職人
# 2x (2) 魚のエサ
# 1x (3) シールドブロック
# 2x (3) ストーンヒルの守護者
# 2x (3) タール・クリーパー
# 2x (3) 死憎悔いのグール
# 1x (3) 苦痛の侍祭
# 1x (4) ブラッドレイザー
# 1x (5) ダイアホーンの幼生
# 1x (5) ハリソン・ジョーンズ
# 2x (5) 乱闘
# 2x (5) 横丁の鎧職人
# 1x (7) キュレーター
# 1x (8) リッチキング
# 2x (8) 始祖ドレイク
# 
AAECAQcIkAf/B/sMubIC08MCoscCzM0Cws4CC0uRA9QEkQaCrQL+vAKbwgLGwwLKwwLfxALJxwIA
# 
# このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ

","### Priest
# クラス: プリースト
# フォーマット: スタンダード
# マンモス年
#
# 1x (0) 沈黙
# 1x (1) ノースシャイアの聖職者
# 1x (1) 狂気ポーション
# 1x (1) 真言・盾
# 1x (1) 縮小ポーション
# 1x (2) ゴラッカ・クローラー
# 1x (2) ブラッドメイジ・サルノス
# 1x (2) 光熱のエレメンタル
# 1x (2) 初級エンジニア
# 1x (2) 密言・痛
# 1x (2) 影の幻視
# 1x (2) 戦利品クレクレ君
# 1x (2) 終末予言者
# 1x (2) 霊魂鞭打
# 1x (3) タール・クリーパー
# 1x (3) ひとまねグリマールート
# 1x (3) 密言・死
# 1x (3) 暴蝕ウーズ
# 1x (3) 苦痛の侍祭
# 1x (4) カザカス
# 1x (4) 上級回復ポーション
# 1x (4) 宴のプリースト
# 1x (4) 密言・恐
# 1x (5) ホーリーノヴァ
# 1x (5) 先遣隊長エリーズ
# 1x (5) 太陽の砕片ライラ
# 1x (5) 縛鎖のラザ
# 1x (6) カバルの影の僧侶
# 1x (6) ドラゴンファイア・ポーション
# 1x (8) 影刈アンドゥイン
# 
AAECAa0GHooB+wGQApwC5QTtBckGpQnTCtcK8gz7DKGsApK0AoO7ArW7Are7Ati7Aui/Auq/AtHBAtjBAtnBAuTCAsrDAtPFAs/HAr7IAvDPApDTAgAA
# 
# このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
","### Druid
# クラス: ドルイド
# フォーマット: スタンダード
# マンモス年
#
# 2x (0) 練気
# 2x (1) 翡翠の偶像
# 1x (1) 自然への回帰
# 2x (2) 終末予言者
# 2x (2) 自然の怒り
# 2x (2) 野生の繁茂
# 2x (3) 翡翠の開花
# 1x (4) スペルブレイカー
# 2x (4) なぎ払い
# 1x (4) ファンドラル・スタッグヘルム
# 2x (4) 翡翠の精霊
# 2x (5) 拡がりゆく虫害
# 2x (5) 滋養
# 1x (6) アヤ・ブラックポー
# 2x (6) 翡翠の巨象
# 1x (7) 魔蝕の病霜マルフュリオン
# 1x (8) 始祖ドレイク
# 2x (10) 究極の侵蝕
# 
AAECAZICBukB8gWuqwKUvQLJxwKZ0wIMQF+KAf4BxAbkCLS7Asu8As+8At2+AqDNAofOAgA=
# 
# このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
","### Paladin
# クラス: パラディン
# フォーマット: スタンダード
# マンモス年
#
# 1x (0) 禁じられし癒し
# 1x (2) ゴラッカ・クローラー
# 2x (2) 平等
# 2x (2) 水文学者
# 2x (2) 熱狂する火霊術師
# 2x (2) 終末予言者
# 2x (3) アルダーの平和の番人
# 1x (3) ウィッカーフレイム
# 2x (3) ストーンヒルの守護者
# 1x (3) 勝鬨の剣
# 1x (3) 暴蝕ウーズ
# 2x (4) トゥルーシルバー・チャンピオン
# 2x (4) 聖別
# 1x (5) 先遣隊長エリーズ
# 2x (6) 剣竜騎乗
# 1x (6) 太陽の番人タリム
# 1x (7) キュレーター
# 1x (8) ティリオン・フォードリング
# 1x (8) 光の王ラグナロス
# 1x (8) 始祖ドレイク
# 1x (9) 断罪のウーサー・エボンブレード
# 
AAECAYsWDPoGiq4C2a4C5q4CubICvL0CucEC5MIC08UCyccCz8cCjtMCCYoB3AP0Bc8G9gePCbPBApvCAojHAgA=
# 
# このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
"
Che0nsu,AAECAQcE1AXyBZG8Aq/CAg0csAKRA/8DjgWoBe4G5wfvB4KwAoiwAva8ApvLAgA=,AAECAZICBvIFrqsCvq4ClL0C08UCmdMCDEBfigH+AcQG5Ai0uwLLvALPvALdvgKgzQKHzgIA,AAECAZ8FCNwDoQb6Bq8HvL0C474CucEC78ICC9sDpwjTqgLZrgKzwQKdwgKxwgKIxwLjywKmzgKW6AIA,AAECAa0GHgmKAfsBkAKXAuUE7QXJBqUJ0wrXCvIM+wyhrAKStAKDuwK1uwK3uwLYuwKwvALhvwLovwLqvwLRwQLYwQLZwQLTxQK+yALwzwKQ0wIAAA==
GingaNinja,"### 4/5 Scientists agree
# Class: Druid
# Format: Standard
# Year of the Mammoth
#
# 2x (0) Innervate
# 2x (1) Jade Idol
# 2x (2) Doomsayer
# 2x (2) Wild Growth
# 2x (2) Wrath
# 2x (3) Jade Blossom
# 1x (4) Fandral Staghelm
# 2x (4) Jade Spirit
# 2x (4) Mire Keeper
# 2x (4) Swipe
# 2x (5) Nourish
# 2x (5) Spreading Plague
# 1x (6) Aya Blackpaw
# 2x (6) Jade Behemoth
# 1x (7) Malfurion the Pestilent
# 1x (8) Primordial Drake
# 2x (10) Ultimate Infestation
# 
AAECAZICBK6rApS9AsnHApnTAg1AX4oB/gHEBuQIvq4CtLsCy7wCz7wC3b4CoM0Ch84CAA==
# 
# To use this deck, copy it to your clipboard and create a new deck in Hearthstone
","### that Jade Druid
# Class: Mage
# Format: Standard
# Year of the Mammoth
#
# 2x (2) Arcanologist
# 2x (2) Doomsayer
# 2x (2) Frostbolt
# 2x (2) Medivh's Valet
# 2x (2) Primordial Glyph
# 1x (3) Acolyte of Pain
# 2x (3) Arcane Intellect
# 2x (3) Frost Nova
# 1x (3) Gluttonous Ooze
# 1x (3) Ice Barrier
# 2x (3) Ice Block
# 1x (3) Volcanic Potion
# 2x (4) Fireball
# 2x (6) Blizzard
# 2x (7) Firelands Portal
# 1x (7) Flamestrike
# 1x (8) Medivh, the Guardian
# 1x (9) Alexstrasza
# 1x (9) Frost Lich Jaina
# 
AAECAf0ECMUE7QTsB/sMobcC6boC08UCm9MCC4oBwAG7AskDqwTLBJYFo7YC17YCwcECmMQCAA==
# 
# To use this deck, copy it to your clipboard and create a new deck in Hearthstone
","### is both a fun
# Class: Priest
# Format: Standard
# Year of the Mammoth
#
# 1x (0) Silence
# 1x (1) Northshire Cleric
# 1x (1) Pint-Size Potion
# 1x (1) Potion of Madness
# 1x (1) Power Word: Shield
# 1x (2) Bloodmage Thalnos
# 1x (2) Doomsayer
# 1x (2) Golakka Crawler
# 1x (2) Loot Hoarder
# 1x (2) Novice Engineer
# 1x (2) Radiant Elemental
# 1x (2) Shadow Visions
# 1x (2) Shadow Word: Pain
# 1x (2) Spirit Lash
# 1x (3) Acolyte of Pain
# 1x (3) Curious Glimmerroot
# 1x (3) Gluttonous Ooze
# 1x (3) Shadow Word: Death
# 1x (3) Tar Creeper
# 1x (4) Greater Healing Potion
# 1x (4) Kazakus
# 1x (4) Priest of the Feast
# 1x (4) Shadow Word: Horror
# 1x (5) Burgly Bully
# 1x (5) Holy Nova
# 1x (5) Lyra the Sunshard
# 1x (5) Raza the Chained
# 1x (6) Cabal Shadow Priest
# 1x (6) Dragonfire Potion
# 1x (8) Shadowreaper Anduin
# 
AAECAa0GHooB+wGQApwC5QTtBckGpQnTCtcK8gz7DKGsApK0AoO7ArW7Are7Ati7Aui/Auq/Avq/AtHBAtjBAtnBAuTCAsrDAtPFAr7IAvDPApDTAgAA
# 
# To use this deck, copy it to your clipboard and create a new deck in Hearthstone
","### and interactive deck :/
# Class: Warrior
# Format: Standard
# Year of the Mammoth
#
# 1x (1) Fire Plume's Heart
# 1x (1) Whirlwind
# 2x (2) Armorsmith
# 1x (2) Battle Rage
# 2x (2) Execute
# 2x (2) Fiery War Axe
# 2x (2) Slam
# 2x (2) Sleep with the Fishes
# 2x (3) Acolyte of Pain
# 2x (3) Ravaging Ghoul
# 2x (3) Stonehill Defender
# 2x (3) Tar Creeper
# 2x (4) Bloodhoof Brave
# 2x (5) Alley Armorsmith
# 1x (5) Brawl
# 1x (5) Direhorn Hatchling
# 1x (7) The Curator
# 2x (8) Primordial Drake
# 
AAECAQcGS5AD/AS5sgLTwwKixwIMkQPUBJEGsgj7DIKtAtKuAv68ApvCAsbDAsrDAsnHAgA=
# 
# To use this deck, copy it to your clipboard and create a new deck in Hearthstone
"
